nomdd_mdd.lo.m,nomdd_mdd.lo.f,nomdd_mdd.hi.m,nomdd_mdd.hi.f,mdd_nomdd.lo.m,mdd_nomdd.lo.f,mdd_nomdd.hi.m,mdd_nomdd.hi.f
1.107049608,1.412532637,0.409921671,0.527415144,16.58746736,18.5770235,18.65013055,20.35770235
0.973890339,1.242819843,0.360313316,0.462140992,19.50130548,21.06788512,21.1227154,22.37859008
0.919060052,1.17232376,0.339425587,0.436031332,14.09138381,16.29503916,16.37859008,18.39425587
0.757180157,0.971279373,0.279373368,0.35770235,18.63446475,20.34725849,20.4073107,21.80678851
0.681462141,0.874673629,0.250652742,0.321148825,17.27154047,19.18015666,19.24804178,20.85900783
0.65535248,0.84073107,0.240208877,0.310704961,18.18537859,19.96605744,20.02872063,21.50130548
0.621409922,0.798955614,0.227154047,0.295039164,17.04960836,18.9843342,19.05483029,20.69712794
0.540469974,0.694516971,0.19843342,0.255874674,16.96605744,18.91122715,18.98172324,20.63707572
0.490861619,0.62924282,0.180156658,0.229765013,17.27937337,19.18798956,19.25587467,20.86422977
0.208877285,0.268929504,0.075718016,0.096605744,20.34725849,21.75979112,21.80939948,22.91644909